Model,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2,Train_MAPE,Test_MAPE,Train_Direction,Test_Direction
Random Forest,0.004174703043014156,0.017178215186387975,0.0026033805196133356,0.013233264582394742,0.9957898840978089,0.8007517680603542,0.20618036692671296,0.9977140775950808,83.11111111111111,56.083086053412465
XGBoost,0.0005978169637133387,0.01928715716583156,0.00045246613810981845,0.014298024614887125,0.9999136665007758,0.7488259098455022,0.03543016272537025,1.0761302184263457,96.74074074074073,57.566765578635014
LightGBM,0.0032041804684138377,0.01817332180765502,0.0021371951809598198,0.01383691188819404,0.9975198564836272,0.7769988858341292,0.16847072798518276,1.0427300674311235,86.29629629629629,56.676557863501486
LSTM,0.018852008381583286,0.031911919643740135,0.013704250710219214,0.02289556513587348,0.9175904469763139,-1.5974979265323812,1.063412044738863,1.7155772932294686,55.03875968992248,52.34657039711191
ARIMA,0.007186955935487958,0.06088768054523141,0.005250733480708051,0.055846617277314256,0.9875516918401906,-1.4431909373269756,0.41386069747408777,4.183482337053871,53.0763528539659,51.038575667655785
